No.	Id	SMILES	Assessment	Predicted HL [log(days)]	Predicted HL [days]	Experimental value [days]	Experimental	ADI	Similarity index	Accuracy index	Concordance index	Max error index	Descriptors range check	ACF index	Remarks
12	Molecule 12	c1(c(c(c(c(c1Cl)Cl)Cl)Cl)Cl)Cl	2292 days (EXPERIMENTAL value)	2.61	409	2292	3.36	0.85	1	0.749	0.749	0.749	True	1	-
13	Molecule 13	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	82 days (LOW reliability)	1.91	82	-	-	0	0.723	0.855	1	0.968	False	1	-
14	Molecule 14	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	82 days (LOW reliability)	1.91	82	-	-	0	0.723	0.855	1	0.968	False	1	-
15	Molecule 15	C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl	82 days (LOW reliability)	1.91	82	-	-	0	0.723	0.855	1	0.968	False	1	-
16	Molecule 16	c1cc(ccc1C(c2ccc(cc2)Cl)=C(Cl)Cl)Cl	2292 days (EXPERIMENTAL value)	2.9	800	2292	3.36	1	1	0.457	0.457	0.457	True	0.85	-
17	Molecule 17	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)Cl)Cl	800 days (MODERATE reliability)	2.9	800	-	-	0.85	0.941	0.5	0.5	0.543	True	0.85	-
18	Molecule 18	c1cc(ccc1C(c2ccc(cc2)Cl)C(Cl)(Cl)Cl)Cl	229 days (EXPERIMENTAL value)	2.9	800	229	2.36	1	1	0.543	0.543	0.543	True	0.85	-
19	Molecule 19	c1cc(ccc1c2ccc(cc2Cl)Cl)Cl	399 days (GOOD reliability)	2.6	399	-	-	1	0.987	0.017	0.249	0.017	True	1	-
20	Molecule 20	c1cc(c(cc1Cl)c2cc(ccc2Cl)Cl)Cl	2292 days (EXPERIMENTAL value)	3.03	1072	2292	3.36	1	1	0.33	0.33	0.33	True	1	-
21	Molecule 21	c1cc(c(cc1Cl)c2cc(c(cc2Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.997	0.014	0	0.029	True	1	-
22	Molecule 22	c1cc(c(cc1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.996	0.014	0	0.029	True	1	-
23	Molecule 23	c2c(c1cc(c(cc1Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.985	0	0	0	True	1	-
24	Molecule 24	c1cc(c(c(c1c2cc(c(cc2Cl)Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.985	0	0	0	True	1	-
25	Molecule 25	c2c(c1cc(c(c(c1Cl)Cl)Cl)Cl)c(cc(c2Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.985	0	0	0	True	1	-
26	Molecule 26	c1cc(ccc1c2cc(c(cc2Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.975	0.014	0	0.029	True	1	-
27	Molecule 27	c1cc(ccc1c2ccc(c(c2Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.977	0.014	0	0.029	True	1	-
28	Molecule 28	c1cc(cc(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.994	0.014	0	0.029	True	1	-
29	Molecule 29	c1cc(ccc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.992	0.014	0	0.029	True	1	-
30	Molecule 30	c1cc(c(cc1c2ccc(c(c2Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.994	0.014	0	0.029	True	1	-
31	Molecule 31	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(cc2Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.983	0	0	0	True	1	-
32	Molecule 32	c1cc(c(cc1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.983	0	0	0	True	1	-
33	Molecule 33	c1cc(c(c(c1c2cc(c(c(c2)Cl)Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.984	0.014	0	0.029	True	1	-
34	Molecule 34	c1cc(c(c(c1c2cc(c(c(c2Cl)Cl)Cl)Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.985	0	0	0	True	1	-
35	Molecule 35	c1c(cc(c(c1Cl)Cl)Cl)c2cc(c(c(c2Cl)Cl)Cl)Cl	2292 days (GOOD reliability)	3.36	2292	-	-	1	0.984	0	0	0	True	1	-
